track_name,artist,bpm,energy,danceability,valence,acousticness,genre
São Paulo,The Weeknd,126,0.82,0.78,0.45,0.07,pop
Like JENNIE,JENNIE,130,0.86,0.84,0.62,0.04,k-pop
Promiscuous,Nelly Furtado,114,0.78,0.82,0.68,0.10,pop
Maneater,Nelly Furtado,132,0.83,0.79,0.72,0.08,pop
Gimme More,Britney Spears,113,0.74,0.76,0.38,0.12,dance pop
Toxic,Britney Spears,143,0.84,0.77,0.58,0.03,dance pop
Can't Get You Out of My Head,Kylie Minogue,126,0.79,0.78,0.81,0.02,dance pop
Padam Padam,Kylie Minogue,128,0.82,0.80,0.70,0.05,dance pop
Physical,Dua Lipa,147,0.85,0.73,0.74,0.01,dance pop
Houdini,Dua Lipa,117,0.86,0.74,0.65,0.04,dance pop
greedy,Tate McRae,111,0.74,0.75,0.62,0.09,pop
exes,Tate McRae,136,0.82,0.79,0.55,0.06,pop
Rush,Troye Sivan,126,0.88,0.82,0.72,0.03,dance pop
Woman,Doja Cat,108,0.76,0.82,0.70,0.11,pop
Buttons,The Pussycat Dolls,111,0.82,0.79,0.54,0.08,pop
Don't Cha,The Pussycat Dolls,132,0.80,0.81,0.63,0.07,pop
Hung Up,Madonna,126,0.89,0.75,0.80,0.01,dance pop
Vogue,Madonna,116,0.73,0.74,0.62,0.08,dance pop
Blinding Lights,The Weeknd,171,0.80,0.51,0.35,0.00,synth pop
Starboy,The Weeknd,93,0.71,0.68,0.49,0.14,pop
Can't Feel My Face,The Weeknd,108,0.77,0.71,0.59,0.10,pop
Sweet Dreams,Beyonce,122,0.73,0.69,0.49,0.09,pop
Where Have You Been,Rihanna,128,0.85,0.72,0.41,0.03,dance pop
Only Girl,Rihanna,126,0.82,0.79,0.62,0.05,dance pop
Bad Romance,Lady Gaga,119,0.88,0.70,0.52,0.04,dance pop
Poker Face,Lady Gaga,119,0.81,0.85,0.78,0.10,dance pop
Telephone,Lady Gaga,122,0.83,0.83,0.71,0.06,dance pop
Super Bass,Nicki Minaj,127,0.86,0.77,0.65,0.07,pop rap
Starships,Nicki Minaj,125,0.88,0.75,0.72,0.04,dance pop
On The Floor,Jennifer Lopez,130,0.86,0.73,0.66,0.05,dance pop
S&M,Rihanna,128,0.81,0.77,0.70,0.06,dance pop
Break My Soul,Beyonce,115,0.80,0.81,0.86,0.02,house
Rain On Me,Lady Gaga,123,0.86,0.67,0.64,0.01,dance pop
Motivation,Normani,171,0.89,0.60,0.68,0.03,pop
Wild Side,Normani,102,0.61,0.75,0.44,0.16,r&b
